City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la'ie,21.6477,-157.9253,84.16,74,19,8.99,US,1699838273
1,barcelos,41.5388,-8.6151,64.54,96,100,10.51,PT,1699838274
2,wadesboro,34.9682,-80.0767,51.57,76,0,0.0,US,1699838274
3,port-aux-francais,-49.35,70.2167,40.05,78,100,9.04,TF,1699838274
4,ushuaia,-54.8,-68.3,49.66,57,75,9.22,AR,1699838126
5,lompoc,34.6391,-120.4579,69.94,72,0,8.05,US,1699837566
6,qaqortoq,60.7167,-46.0333,17.42,89,24,1.28,GL,1699838274
7,invercargill,-46.4,168.35,53.02,93,100,7.0,NZ,1699838274
8,santa cruz,-17.8,-63.1667,87.26,55,15,6.91,BO,1699838140
9,cill airne,52.05,-9.5167,54.68,96,100,14.52,IE,1699838275
10,utrik,11.2278,169.8474,82.44,81,100,19.19,MH,1699838275
11,new norfolk,-42.7826,147.0587,67.71,38,50,7.29,AU,1699838275
12,matadi,-5.8167,13.45,77.92,89,100,2.04,CD,1699838275
13,nebraska city,40.6767,-95.8592,59.43,33,0,5.75,US,1699838275
14,nova sintra,14.8667,-24.7167,74.71,68,66,6.85,CV,1699838276
15,nadi,-17.8,177.4167,77.0,88,40,9.22,FJ,1699838276
16,karratha,-20.7377,116.8463,81.77,33,6,12.59,AU,1699838276
17,puerto natales,-51.7236,-72.4875,41.94,87,100,3.89,CL,1699838276
18,touros,-5.1989,-35.4608,77.65,79,3,12.24,BR,1699838276
19,udachny,66.4167,112.4,8.46,92,100,7.4,RU,1699838276
20,tizi-n-tleta,36.5457,4.0571,57.15,73,84,2.89,DZ,1699838277
21,anloga,5.7947,0.8973,81.66,81,8,9.6,GH,1699838277
22,sri dungargarh,28.0833,74.0167,63.99,50,4,6.49,IN,1699838277
23,gorey,52.6747,-6.2925,53.58,98,100,21.34,IE,1699838277
24,susuman,62.7833,148.1667,-20.69,97,89,0.85,RU,1699838277
25,holualoa,19.6228,-155.9522,78.64,79,40,9.22,US,1699838277
26,ust-nera,64.5667,143.2,-10.26,99,100,2.59,RU,1699838277
27,iquique,-20.2208,-70.1431,66.24,79,58,1.83,CL,1699838202
28,port blair,11.6667,92.75,75.24,94,100,2.3,IN,1699838278
29,rey bouba,8.6724,14.1786,76.78,67,100,2.86,CM,1699838278
30,hithadhoo,-0.6,73.0833,81.66,76,91,7.52,MV,1699838152
31,jerantut,3.936,102.3626,78.55,92,33,0.54,MY,1699838278
32,prudentopolis,-25.2131,-50.9778,73.27,75,97,0.65,BR,1699838278
33,bethel,41.3712,-73.414,35.49,71,0,0.0,US,1699838278
34,lebu,-37.6167,-73.65,48.27,66,0,14.88,CL,1699838278
35,grytviken,-54.2811,-36.5092,37.44,90,100,4.18,GS,1699838279
36,st. john's,47.5649,-52.7093,30.97,84,100,13.8,CA,1699838026
37,waitangi,-43.9535,-176.5597,54.7,88,100,19.26,NZ,1699838279
38,puerto deseado,-47.7503,-65.8938,46.24,61,0,16.87,AR,1699838279
39,aasiaat,68.7098,-52.8699,5.95,84,17,2.75,GL,1699838279
40,cabo san lucas,22.8909,-109.9124,81.52,66,40,9.22,MX,1699838279
41,hanzhong,33.0728,107.0303,43.32,80,100,2.35,CN,1699838279
42,jamestown,42.097,-79.2353,37.04,72,0,5.75,US,1699838171
43,adamstown,-25.066,-130.1015,73.04,85,100,18.21,PN,1699838280
44,malindi,-3.2175,40.1191,78.35,84,90,4.16,KE,1699838280
45,tsiombe,-25.3,45.4833,70.66,60,0,5.95,MG,1699838280
46,albany,42.6001,-73.9662,30.67,78,1,2.48,US,1699838280
47,blackmans bay,-43.0167,147.3167,66.52,44,4,1.99,AU,1699838280
48,tromso,69.6496,18.957,26.62,63,18,11.5,NO,1699838280
49,bardai,11.65,7.2333,71.69,25,48,8.28,NG,1699838281
50,east london,-33.0153,27.9116,58.24,68,42,9.24,ZA,1699838281
51,garoowe,8.4054,48.4845,75.97,80,49,10.38,SO,1699838281
52,iqaluit,63.7506,-68.5145,-0.31,77,20,5.75,CA,1699838281
53,wer,27.0,77.1667,63.23,56,8,0.94,IN,1699838281
54,palmerston north,-40.35,175.6167,71.06,67,12,5.99,NZ,1699838281
55,thompson,55.7435,-97.8558,28.56,100,100,0.0,CA,1699838037
56,basco,20.4487,121.9702,79.45,78,87,30.82,PH,1699838282
57,vorgashor,67.5833,63.95,10.53,98,78,7.63,RU,1699838282
